"","CellNumbers","CellLifetime","CellFate"
"1",1,46.6666666666667,1
"2",2,26.6666666666667,1
"3",3,26.3333333333333,1
"4",4,19,1
"5",5,16.3333333333333,1
"6",6,19.3333333333333,1
"7",7,17.3333333333333,1
"8",8,14,1
"9",9,15.6666666666667,1
"10",10,16.6666666666667,1
"11",11,15,1
"12",12,11,1
"13",13,13,1
"14",14,16.6666666666667,1
"15",15,14.6666666666667,1
"16",16,2.66666666666667,0
"17",17,1,0
"18",18,1.33333333333333,0
"19",19,1.33333333333333,0
"20",20,2.33333333333333,0
"21",21,1.33333333333333,0
"22",22,2,0
"23",23,2.33333333333333,0
"24",24,1.33333333333333,0
"25",25,1.66666666666667,0
"26",26,1.33333333333333,0
"27",27,1.33333333333333,0
"28",28,1.33333333333333,0
"29",29,1.33333333333333,0
"30",30,1.33333333333333,0
"31",31,1.66666666666667,0
